code,type,name
5,GS,천안아산신세계점
6,ST,춘천명동점
27,ST,안양일번가점
46,MS,광주충장로점
47,MS,대전은행점
48,GS,강남본점
53,GS,안산중앙역점
55,ST,미아점
59,GS,건대스타시티점
60,GS,일산웨스턴돔점
65,ST,포항중앙점
66,GS,부산광복점
68,ST,성남신흥점
70,ST,구미원평점
74,ST,창원시티세븐점
75,ST,원주일산점
76,ST,왕십리비트플렉스점
77,ST,경주노동점
79,ST,진주대안점
81,ST,부천심곡점
83,ST,광주세정아울렛점
84,ST,구리점
87,ST,구로W-MALL점
88,ST,수원영통점
92,ST,신림타임스트림점
96,MS,평택AK점
98,GS,중동유플렉스점
99,SP,대구동성로점
100,MS,인천구월점
102,ST,대구성서점
103,GS,영등포타임스퀘어점
104,GS,명동중앙점
111,ST,부산경성대점
113,ST,노량진점
118,ST,부산덕천점
119,ST,이태원점
122,SP,문정가든파이브점
123,ST,인천아이즈빌점
130,ST,청주에버세이브점
138,ST,동탄타임테라스점
140,MS,울산롯데점
141,ST,순천중앙로점
142,ST,중랑점
145,GS,제주칠성점
148,ST,대구칠곡점
150,ST,대구이시아폴리스점
152,ST,일산덕이로데오점
153,ST,거제고현점
156,MS,강릉금학점
157,ST,창원경남대점
158,ST,청주터미널점
159,ST,천호로데오점
161,ST,목포하당점
165,MS,노원점
166,SP,강서NC점
169,ST,수원남문점
171,ST,불광NC점
172,ST,안산한양대점
173,GS,김포롯데몰점
174,ST,여주375점
179,ST,안동남문점
185,ST,광주수완점
187,ST,익산영등점
188,MS,명동점
191,ST,김포패션아울렛점
194,ST,서귀포점
197,ST,신도림디큐브점
203,GS,인천스퀘어원점
204,ST,평택중앙점
208,ST,서울대입구역점
209,ST,청주성안점
210,GS,부산대학로점
216,GS,고양화정역점
218,ST,강변테크노마트점
226,ST,오산모다아울렛점
232,ST,광주첨단점
235,SP,광주충장로점
242,GS,인천부평점
243,ST,용인죽전점
245,ST,대전둔산점
251,ST,창원합성점
253,ST,천안신부점
265,ST,성남터미널점
266,ST,군포산본역점
267,ST,상봉엔터식스점
274,ST,창원상남점
277,ST,김해아이스퀘어점
279,SP,홍대점
280,ST,충주성서점
281,GS,잠실롯데월드몰점
282,ST,양주LF스퀘어점
283,MS,수원롯데몰점
284,ST,전주효자몰점
285,ST,구미인동점
290,ST,구로마리오점
292,GS,신촌유플렉스점
293,OT,S 명동점
305,ST,여수신기점
307,ST,구리롯데아울렛점
308,MS,동부산롯데몰점
309,ST,온양온천점
312,ST,김포현대아울렛점
313,ST,아산퍼스트빌리지점
315,ST,구로현대아울렛점
323,ST,가좌홈플러스점
326,ST,군산수송점
334,MS,광교롯데아울렛점
337,GS,제주연동점
341,ST,울산성남점
352,ST,당진읍내점
356,ST,대구신매점
357,ST,동대문현대아울렛점
358,GS,해운대신세계센텀점
368,GS,코엑스몰점
372,ST,송도현대아울렛점
373,ST,대구월배점
374,ST,상동더플러스몰점
375,MS,신제주연동점
383,GS,하남스타필드점
385,ST,진주롯데몰점
389,ST,곤지암에버세이브점
395,MS,은평롯데몰점
401,ST,제천중앙로점
406,ST,대학로점
408,ST,성남이마트점
410,MS,강남엔터식스점
414,MS,광양LF몰점
416,MS,대구중앙로역점
417,GS,홍대점
418,MS,부산대학로점
419,ST,킨텍스이마트점
424,GS,천호로데오점
426,GS,송도트리플스트리트점
428,SP,신촌점
430,ST,이천롯데아울렛점
431,ST,영주명동점
432,ST,화성봉담점
434,ST,가든파이브현대시티몰점
436,GS,대전은행점
437,ST,포천송우리점
439,ST,파주롯데아울렛점
441,ST,정읍점
442,GS,청주성안점
443,ST,부산금정이마트점
444,GS,고양스타필드점
445,ST,동수원홈플러스점
447,ST,평촌뉴코아점
448,ST,월드컵홈플러스점
449,ST,메세나폴리스점
460,ST,부산장산역점
461,ST,제주칠성점
464,ST,안성점
465,ST,서산점
466,ST,청량리롯데마트점
467,ST,경산이마트점
469,ST,상주점
470,ST,여수이마트점
472,MS,전주객사점
473,ST,천안지웰시티점
477,ST,평택뉴코아아울렛점
481,ST,포항이마트점
482,ST,대전이마트점
484,ST,자양이마트점
485,ST,군산롯데아울렛점
486,KM,잠실롯데월드몰점
487,OT,S 부산광복점
488,ST,연수이마트점
489,GS,전주객사점
490,ST,시화이마트점
491,ST,산본롯데피트인점
493,ST,서수원이마트점
498,KM,대구칠곡점
499,KM,인천스퀘어원점
500,ST,율하롯데아울렛점
502,ST,원주무실점
504,ST,사상롯데마트점
505,KM,상봉엔터식스점
507,ST,세종파이낸스센터점
508,OT,S 한남점
509,GS,울산업스퀘어점
510,MS,기흥롯데아울렛점
512,ST,서전주점
513,ST,위례스타필드시티점
517,GS,의정부역점
518,GS,진주대안점
519,ST,대전탄방로데오타운점
520,GS,천호현대점
522,ST,울산무거점
524,GS,원주일산점
525,GS,미아현대점
526,GS,광주충장로점
530,MS,하단아트몰링점
532,KM,울산신선도원몰점
533,ST,울산신선도원몰점
535,MS,홍대EXIT몰점
537,ST,안산중앙역점
538,GS,대구동성로중앙점
539,ST,성서홈플러스점
540,ST,명동3가점
541,GS,홍대홍익로점
542,ST,경기광주경안점
543,ST,아산풍기점
545,ST,부산광복점
546,ST,용인김량장동점
547,GS,수지롯데몰점
548,KM,수지롯데몰점
549,GS,광양LF몰점
550,ST,부천스타필드시티점
551,GS,동대문두타몰점
552,GS,안양엔터식스점
553,KM,안양엔터식스점
554,ST,파주신세계아울렛점
555,ST,일산웨스턴돔점
558,ST,인천논현뉴코아점
559,ST,명지스타필드시티점
560,ST,제주롯데마트점
561,GS,순천중앙로점
562,OT,S 가로수길점
563,ST,서면NC점
564,KM,해운대신세계센텀점
565,ST,고양화정역점
566,ST,구리남양주모다아울렛점
567,KM,수원롯데몰점
568,GS,창원상남점
569,GS,춘천명동점
570,ST,서귀포중앙점
572,GS,분당AK점
575,GS,수원AK점
576,ST,인천LF스퀘어점
577,ST,남악롯데아울렛점
578,ST,광주월드컵롯데아울렛점
579,ST,속초점
580,SP,수원역점
581,GS,신제주연동점
582,ST,고잔이마트점
583,ST,풍산이마트점
585,ST,시흥신세계아울렛점
586,ST,유성홈플러스점
589,KM,양주LF스퀘어점
591,ST,동탄레이크꼬모점
593,ST,수유역점
594,GS,강릉금학점
595,SP,인천부평점
596,SP,의정부점
597,ST,김포롯데몰점
598,ST,대전현대아울렛점
599,SP,이천점
600,SP,대전은행점
601,GS,울산성남점
602,ST,연신내역점
603,ST,서울역롯데아울렛점
604,ST,고양터미널롯데아울렛점
605,SP,안양엔터식스점
607,GS,부산서면점
608,KM,평택AK점
609,SP,대전둔산점
611,KM,동탄레이크꼬모점
612,ST,신구로NC점
615,GS,안성스타필드점
616,ST,익산영등로데오점
619,GS,포항중앙점
620,ST,남양주현대아울렛점
621,SP,부산롯데아쿠아점
622,GS,광교갤러리아점
625,ST,부천뉴코아점
627,ST,광명롯데몰점
628,ST,김해롯데아울렛점
629,KM,광양LF몰점
630,KM,대구이시아폴리스점
633,SP,성신여대점
634,ST,통영무전점
636,KM,송도현대아울렛점
637,KM,부천뉴코아점
639,ST,강남뉴코아점
640,ST,광주수완롯데아울렛점
641,GS,광명AK점
642,KM,광명AK점
643,SP,제주시청점
645,GS,용산아이파크몰점
646,KM,용산아이파크몰점
647,ST,대전대정점
648,KM,은평롯데몰점
649,KM,서면NC점
650,KM,마산롯데점
651,KM,천호2001아울렛점
652,KM,분당2001아울렛점
653,GS,목동유플렉스점
654,ST,동해천곡점
655,ST,대전유성NC점
